ch,photo_diode,R,G,B,IR,id
ch5,0.1075483870967742,0.20601601384981608,0.36355767149967544,0.43042631465050857,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20601601384981608,0.36355767149967544,0.43042631465050857,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051516333474842,0.36348042331918967,0.4313679433333262,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20456810516040783,0.36203397434270496,0.4333979204968872,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20427463548524064,0.3629491887754267,0.43277617573933264,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20456810516040783,0.36203397434270496,0.4333979204968872,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20456810516040783,0.36203397434270496,0.4333979204968872,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.2051272354577958,0.3630234940118638,0.4318492705303404,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.2666666666666666,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20400029142898776,0.3643205204578864,0.4316791881131259,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
ch5,0.1075483870967742,0.20483216051099143,0.36393978291031553,0.431228056578693,1.3,"['53', 'A2', '56', '66', '42', '00', '01']"
